Id,reference
10001,34.259
10002,43.6182
10003,34.517
10004,71.5727
10005,62.7599
10006,59.228
10007,72.9527
10008,64.2441
10009,44.8666
10010,92.4117
10011,65.3741
10012,34.0355
10013,42.119
10014,66.5702
10015,33.9035
10016,69.3777
10017,27.9496
10018,60.5871
10019,26.1185
10020,52.1584
10021,87.139
10022,92.4334
10023,64.0168
10024,32.2713
10025,72.4621
10026,57.0349
10027,57.1326
10028,33.4828
10029,89.4613
10030,31.2727
10031,70.1224
10032,36.4631
10033,38.5654
10034,64.9884
10035,64.8673
10036,49.319
10037,7.60726
10038,17.5387
10039,27.669
10040,73.1569
10041,54.3535
10042,40.0958
10043,91.7045
10044,17.0264
10045,23.012
10046,28.1405
10047,37.7618
10048,85.8383
10049,70.7876
10050,20.9825
10051,29.4711
10052,87.8787
10053,52.6429
10054,92.2772
10055,78.0212
10056,44.5937
10057,23.3661
10058,74.3725
10059,54.6494
10060,64.4787
10061,32.7662
10062,7.72953
10063,56.8485
10064,13.298
10065,43.9005
10066,30.0309
10067,65.8717
10068,81.9421
10069,86.5533
10070,37.4129
10071,29.2537
10072,31.7696
10073,30.5299
10074,53.6684
10075,44.7159
10076,21.1416
10077,60.9555
10078,36.4237
10079,63.4284
10080,42.9374
10081,11.9835
10082,8.25103
10083,34.0355
10084,73.8197
10085,11.346
10086,46.59
10087,29.8008
10088,50.3223
10089,84.8321
10090,84.2221
10091,45.7154
10092,41.5081
10093,31.683
10094,57.9558
10095,40.28
10096,74.4094
10097,42.1073
10098,41.298
10099,44.0416
10100,26.9085
10101,86.6532
10102,30.562
10103,80.855
10104,83.7884
10105,46.4019
10106,11.9511
10107,62.6952
10108,13.5371
10109,90.544
10110,52.5576
10111,34.5554
10112,41.0809
10113,30.596
10114,31.4919
10115,93.5867
10116,59.7521
10117,21.02
10118,13.2877
10119,12.1865
10120,47.8951
10121,78.6262
10122,34.1587
10123,57.8546
10124,74.4815
10125,30.7329
10126,30.9651
10127,82.0049
10128,44.8784
10129,17.6685
10130,50.3278
10131,19.5675
10132,37.1192
10133,31.0214
10134,29.739
10135,41.4628
10136,50.4909
10137,47.929
10138,40.3951
10139,38.7059
10140,36.9605
10141,68.6243
10142,37.5722
10143,64.5993
10144,66.5403
10145,11.7458
10146,14.0217
10147,44.563
10148,73.3866
10149,41.7924
10150,84.768
10151,8.75731
10152,85.3781
10153,36.4461
10154,79.0508
10155,53.8108
10156,84.2425
10157,91.2542
10158,89.3429
10159,66.548
10160,34.8167
10161,77.1192
10162,30.8581
10163,30.2613
10164,45.945
10165,17.1715
10166,48.2344
10167,88.6397
10168,26.5454
10169,9.82028
10170,34.4951
10171,66.3372
10172,29.5627
10173,60.1421
10174,35.129
10175,33.3488
10176,27.364
10177,20.2246
10178,57.7228
10179,49.4476
10180,51.3887
10181,70.6287
10182,51.8025
10183,36.3617
10184,88.111
10185,62.063
10186,34.5439
10187,78.9906
10188,37.2009
10189,55.9208
10190,14.1535
10191,55.8372
10192,54.4679
10193,10.616
10194,34.5796
10195,10.9704
10196,59.0315
10197,66.0262
10198,18.7413
10199,49.6135
10200,48.4357
10201,28.0887
10202,74.2262
10203,26.0181
10204,70.8578
10205,28.1577
10206,62.5951
10207,74.9427
10208,21.4114
10209,51.2476
10210,29.4236
10211,41.4573
10212,22.6748
10213,39.5396
10214,23.967
10215,46.5827
10216,60.5344
10217,28.874
10218,25.8402
10219,86.5521
10220,54.0118
10221,9.34097
10222,69.8093
10223,63.8644
10224,13.3757
10225,27.0412
10226,88.7014
10227,70.2219
10228,47.5712
10229,20.505
10230,78.8568
10231,75.2919
10232,85.1041
10233,38.2816
10234,83.9062
10235,46.461
10236,11.2434
10237,85.6435
10238,90.365
10239,38.9268
10240,15.3038
10241,49.0655
10242,89.4318
10243,35.0392
10244,64.1194
10245,35.0627
10246,53.2429
10247,47.7646
10248,53.6286
10249,92.7654
10250,73.5252
10251,43.3469
10252,28.0509
10253,48.1055
10254,54.0493
10255,48.1106
10256,13.2534
10257,26.7171
10258,81.8668
10259,85.6358
10260,76.5271
10261,89.4404
10262,77.8384
10263,18.9168
10264,43.3812
10265,41.8186
10266,11.1077
10267,33.6245
10268,29.9832
10269,51.5197
10270,44.0116
10271,51.9412
10272,58.3324
10273,34.167
10274,25.7211
10275,10.8297
10276,47.8217
10277,51.1779
10278,85.0991
10279,28.3015
10280,55.4996
10281,59.741
10282,66.3639
10283,29.6529
10284,29.6843
10285,30.0361
10286,36.3976
10287,58.1336
10288,80.0736
10289,79.9255
10290,34.2782
10291,94.2518
10292,22.9029
10293,11.0101
10294,46.0365
10295,69.993
10296,71.6188
10297,36.2773
10298,57.6579
10299,35.6788
10300,30.8359
10301,53.6728
10302,86.855
10303,26.9129
10304,55.8605
10305,68.5486
10306,83.8508
10307,7.77144
10308,90.3387
10309,85.3841
10310,23.5519
10311,93.469
10312,43.0374
10313,55.6805
10314,12.4324
10315,60.5169
10316,80.415
10317,73.2581
10318,39.4675
10319,57.5551
10320,73.5591
10321,72.1107
10322,29.22
10323,33.7149
10324,42.6766
10325,67.8319
10326,63.7356
10327,53.5358
10328,55.3111
10329,74.5197
10330,46.3858
10331,80.467
10332,48.0345
10333,30.3376
10334,41.838
10335,64.2426
10336,52.3842
10337,27.3543
10338,19.0955
10339,25.8603
10340,63.7392
10341,74.9734
10342,82.3654
10343,27.272
10344,65.9899
10345,86.7657
10346,46.4991
10347,31.6108
10348,53.3701
10349,14.3817
10350,13.8184
10351,75.6431
10352,94.8998
10353,60.0077
10354,65.7644
10355,35.5265
10356,19.4414
10357,15.9285
10358,82.8681
10359,44.4993
10360,31.7322
10361,55.9928
10362,38.5469
10363,85.1498
10364,31.0847
10365,53.4517
10366,38.042
10367,29.4702
10368,17.7648
