Id,reference
10001,35.5954
10002,45.241
10003,34.3642
10004,71.942
10005,60.6478
10006,59.6052
10007,73.3712
10008,64.6856
10009,44.3656
10010,92.4408
10011,66.2414
10012,32.9317
10013,41.5704
10014,66.8068
10015,35.6626
10016,69.5394
10017,28.3409
10018,59.9641
10019,26.3636
10020,53.8919
10021,85.0897
10022,92.7812
10023,64.3269
10024,32.6664
10025,72.6491
10026,51.1823
10027,57.8755
10028,32.8321
10029,89.0485
10030,32.3647
10031,71.2693
10032,35.3247
10033,39.5016
10034,66.7494
10035,64.2872
10036,49.304
10037,7.55266
10038,18.1957
10039,27.7912
10040,74.5425
10041,54.7437
10042,39.736
10043,92.2255
10044,19.0148
10045,22.9331
10046,28.5022
10047,37.1975
10048,87.3054
10049,71.8511
10050,20.5928
10051,30.0139
10052,88.1315
10053,52.904
10054,92.0937
10055,78.6927
10056,45.082
10057,23.5418
10058,73.7036
10059,53.729
10060,64.1139
10061,33.5824
10062,8.72114
10063,57.119
10064,13.4524
10065,45.4387
10066,29.2641
10067,66.5812
10068,81.8073
10069,85.8057
10070,36.8582
10071,28.1848
10072,31.7015
10073,30.5219
10074,54.1816
10075,45.957
10076,21.0384
10077,59.4847
10078,36.7069
10079,60.9015
10080,42.8432
10081,12.5675
10082,7.48011
10083,33.9101
10084,73.6344
10085,10.4757
10086,46.473
10087,29.2333
10088,49.0514
10089,84.612
10090,83.7267
10091,45.449
10092,41.9876
10093,32.0787
10094,59.2339
10095,40.5921
10096,76.605
10097,41.5599
10098,41.3874
10099,42.4953
10100,26.4825
10101,87.2204
10102,31.1413
10103,85.097
10104,83.7012
10105,45.6947
10106,11.6171
10107,65.6602
10108,12.8552
10109,90.0592
10110,54.5473
10111,38.1035
10112,41.3094
10113,30.121
10114,31.1292
10115,91.6578
10116,59.6434
10117,21.3008
10118,13.5765
10119,12.0934
10120,47.9265
10121,78.5347
10122,34.4014
10123,56.4983
10124,74.5427
10125,30.5196
10126,30.9308
10127,82.7471
10128,45.3255
10129,17.6775
10130,50.7165
10131,19.1049
10132,36.2689
10133,30.5557
10134,30.0003
10135,42.8493
10136,51.5609
10137,46.652
10138,40.1732
10139,38.5071
10140,37.4903
10141,68.9604
10142,37.4282
10143,65.0528
10144,67.4818
10145,11.2055
10146,15.7441
10147,44.0628
10148,73.0239
10149,41.9779
10150,84.6732
10151,8.33261
10152,83.4978
10153,36.3107
10154,78.1591
10155,52.0099
10156,88.4376
10157,91.7202
10158,89.1537
10159,67.0968
10160,34.187
10161,77.4502
10162,31.5879
10163,28.9823
10164,46.4815
10165,16.4045
10166,48.4019
10167,88.2877
10168,26.4195
10169,7.36746
10170,34.3971
10171,65.4583
10172,30.6634
10173,60.7289
10174,39.9692
10175,33.6724
10176,26.1353
10177,21.8111
10178,56.8206
10179,48.9563
10180,50.7861
10181,71.2732
10182,51.2366
10183,35.7225
10184,88.1207
10185,61.3813
10186,35.333
10187,78.6171
10188,37.0708
10189,56.8519
10190,15.594
10191,54.8475
10192,55.3266
10193,11.1179
10194,34.3046
10195,12.6999
10196,57.9945
10197,67.4101
10198,20.0355
10199,49.6399
10200,48.0048
10201,27.9946
10202,73.8127
10203,26.3316
10204,69.1608
10205,27.7645
10206,63.161
10207,75.6316
10208,21.2659
10209,51.1881
10210,29.121
10211,42.8999
10212,22.3234
10213,39.2485
10214,21.4198
10215,47.2939
10216,61.7105
10217,29.3431
10218,25.996
10219,85.4584
10220,52.4017
10221,9.33927
10222,68.3608
10223,66.5019
10224,13.4879
10225,26.4389
10226,88.0367
10227,70.1721
10228,48.5555
10229,20.5308
10230,78.355
10231,74.9172
10232,83.8586
10233,37.7084
10234,84.0115
10235,45.8644
10236,11.69
10237,84.421
10238,90.7319
10239,38.8118
10240,13.6546
10241,48.7065
10242,89.2072
10243,34.0486
10244,64.5019
10245,35.3588
10246,53.2045
10247,48.0971
10248,54.1355
10249,92.8579
10250,72.777
10251,41.2551
10252,27.482
10253,47.7993
10254,53.8998
10255,47.77
10256,11.7853
10257,26.4032
10258,81.0017
10259,86.4975
10260,76.0114
10261,88.7567
10262,76.9832
10263,18.042
10264,42.4715
10265,42.2092
10266,11.0073
10267,33.4927
10268,30.1464
10269,51.8907
10270,43.7979
10271,51.6331
10272,57.3145
10273,34.1601
10274,26.2086
10275,10.1048
10276,48.9263
10277,50.5327
10278,87.8744
10279,29.0909
10280,55.081
10281,58.452
10282,66.9586
10283,28.3315
10284,29.2957
10285,29.9158
10286,36.4859
10287,58.6158
10288,80.8228
10289,80.3069
10290,34.1859
10291,91.9561
10292,24.0303
10293,11.9092
10294,45.1945
10295,69.7762
10296,70.5095
10297,35.8511
10298,58.3735
10299,35.955
10300,31.086
10301,57.9008
10302,85.9764
10303,27.3134
10304,55.8026
10305,68.2477
10306,82.7387
10307,7.87908
10308,91.2222
10309,85.0226
10310,23.2665
10311,92.733
10312,43.0631
10313,56.1575
10314,12.2717
10315,61.5725
10316,80.5091
10317,72.2779
10318,39.3948
10319,58.9307
10320,72.8863
10321,70.4234
10322,30.391
10323,34.4328
10324,42.9143
10325,68.6362
10326,63.8594
10327,51.6736
10328,57.4762
10329,75.143
10330,46.2509
10331,79.7456
10332,47.7846
10333,29.6303
10334,40.6732
10335,66.1484
10336,54.4905
10337,27.2763
10338,19.6319
10339,25.5531
10340,64.2065
10341,77.2713
10342,81.6366
10343,27.3303
10344,64.5062
10345,86.8784
10346,45.008
10347,32.0706
10348,53.717
10349,14.3533
10350,12.089
10351,75.4979
10352,93.7644
10353,59.776
10354,66.2338
10355,35.1645
10356,20.2275
10357,16.2931
10358,82.672
10359,44.451
10360,32.2464
10361,55.5143
10362,39.1121
10363,84.5423
10364,31.3666
10365,52.9
10366,38.6709
10367,30.0251
10368,16.2673
10369,43.4629
10370,73.3489
10371,50.4679
10372,11.4594
10373,31.8003
10374,69.2702
10375,94.1643
10376,29.2989
10377,59.1496
10378,67.5081
10379,28.086
10380,43.4923
10381,45.7085
10382,42.183
10383,52.9521
10384,14.5428
10385,29.5845
10386,75.2594
10387,19.9645
10388,31.6341
10389,88.0204
10390,31.4519
10391,84.6112
10392,14.5727
10393,38.1237
10394,48.5448
10395,71.9569
10396,67.9262
10397,88.3556
10398,81.7844
10399,34.4737
10400,42.4492
10401,45.8178
10402,13.5086
10403,36.7718
10404,83.6684
10405,16.7636
10406,88.7661
10407,77.5466
10408,30.5697
10409,72.5633
10410,30.5915
10411,88.6055
10412,33.1044
10413,54.0031
10414,27.4547
10415,15.5585
10416,21.9083
10417,30.7083
10418,26.9478
10419,35.6107
10420,44.0502
10421,88.1355
10422,38.5711
10423,33.106
10424,42.4388
10425,58.2465
10426,53.7723
10427,60.5155
10428,36.1264
10429,93.6213
10430,73.7192
10431,71.4548
10432,34.7757
10433,13.6791
10434,26.4054
10435,70.5091
10436,38.8539
10437,75.4575
10438,28.9987
10439,88.4894
10440,55.9302
10441,41.1808
10442,21.8916
10443,39.5041
10444,42.202
10445,85.4069
10446,69.9055
10447,12.5457
10448,72.2359
10449,77.7442
10450,50.3028
10451,29.2899
10452,27.1352
10453,41.761
10454,89.0466
10455,85.2465
10456,9.98457
10457,57.9693
10458,25.5421
10459,49.6086
10460,39.236
10461,79.9073
10462,50.9358
10463,42.5302
10464,42.4591
10465,19.4836
10466,68.4284
10467,45.1227
10468,45.9699
10469,43.8212
10470,82.5693
10471,57.5527
10472,60.3985
10473,31.6777
10474,58.2746
10475,59.3778
10476,66.2596
10477,82.9081
10478,20.9714
10479,25.364
10480,43.317
10481,65.8818
10482,30.2312
10483,20.7887
10484,57.9581
10485,62.0572
10486,79.7117
10487,24.2795
10488,39.4723
10489,71.1314
10490,80.0865
10491,30.1095
10492,39.7696
10493,63.9169
10494,38.3477
10495,29.9179
10496,14.9533
10497,18.5949
10498,26.5794
10499,79.4067
10500,42.3247
10501,26.4729
10502,42.8142
10503,11.251
10504,90.9125
10505,33.7331
10506,34.3714
10507,83.6992
10508,73.2823
10509,88.246
10510,58.6794
10511,51.0693
10512,35.1288
10513,27.1557
10514,79.1471
10515,26.4636
10516,86.5226
10517,35.3746
10518,48.3579
10519,34.494
10520,85.3321
10521,78.6714
10522,13.6093
10523,63.1294
10524,33.9554
10525,29.8299
10526,50.3365
10527,82.6018
10528,78.6403
10529,67.2283
10530,45.6575
10531,63.762
10532,83.9702
10533,51.2734
10534,90.3976
10535,15.0643
10536,60.6967
10537,43.0926
10538,38.9274
10539,15.8747
10540,54.6204
10541,33.8131
10542,75.1867
10543,85.2484
10544,50.1425
10545,71.2189
10546,27.6494
10547,21.6741
10548,92.5607
10549,21.2826
10550,40.034
10551,44.3076
10552,36.3123
10553,29.4508
10554,49.6921
10555,16.5748
10556,14.512
10557,24.559
10558,33.2142
10559,54.0767
10560,46.0336
10561,21.4533
10562,35.7874
10563,29.6333
10564,25.9095
10565,51.6453
10566,63.7594
10567,91.8715
10568,40.2606
10569,31.7676
10570,89.4953
10571,27.4829
10572,72.6571
10573,34.8851
10574,14.518
10575,86.121
10576,80.6405
10577,67.4776
10578,35.9014
10579,73.2301
10580,13.1787
10581,18.5556
10582,39.8879
10583,33.3599
10584,48.2967
10585,76.6787
10586,77.535
10587,65.3925
10588,30.3608
10589,16.5552
10590,26.8934
10591,12.0263
10592,51.6097
10593,47.0724
10594,82.0462
10595,33.3577
10596,79.7753
10597,41.3886
10598,30.9332
10599,10.6304
10600,73.3379
10601,34.0967
10602,32.863
10603,62.6105
10604,71.6953
10605,64.7234
10606,32.1271
10607,39.691
10608,69.7304
10609,71.3267
10610,38.3157
10611,67.0882
10612,31.2876
10613,35.7384
10614,50.4511
10615,73.7506
10616,42.416
10617,55.8963
10618,43.8655
10619,8.39965
10620,66.0168
10621,59.972
