Id,reference
10001,34.7276
10002,44.0288
10003,33.7095
10004,72.5224
10005,62.3764
10006,59.3542
10007,73.0948
10008,64.4671
10009,43.3843
10010,92.7219
10011,65.588
10012,33.2558
10013,42.4473
10014,66.3561
10015,34.6084
10016,70.3967
10017,28.8471
10018,60.0618
10019,26.367
10020,52.0296
10021,86.6133
10022,91.2352
10023,65.995
10024,33.6165
10025,72.4252
10026,44.897
10027,57.9771
10028,33.2835
10029,89.1368
10030,32.1717
10031,70.7808
10032,35.7127
10033,39.0211
10034,65.0366
10035,67.2856
10036,48.3637
10037,9.65656
10038,17.9866
10039,27.8168
10040,74.6295
10041,54.0741
10042,39.3375
10043,92.6598
10044,17.6046
10045,23.7115
10046,28.6455
10047,37.8575
10048,87.0865
10049,71.8497
10050,19.8761
10051,30.7871
10052,88.1978
10053,49.942
10054,93.7662
10055,78.6305
10056,44.9147
10057,20.2163
10058,74.5256
10059,54.8366
10060,64.7807
10061,35.3585
10062,8.11536
10063,56.1542
10064,13.5996
10065,46.2956
10066,31.1936
10067,66.9964
10068,81.2494
10069,85.868
10070,37.5526
10071,28.6956
10072,32.3779
10073,31.431
10074,54.297
10075,46.375
10076,21.0408
10077,61.3013
10078,36.1659
10079,65.3934
10080,44.3378
10081,12.5425
10082,8.55151
10083,35.5414
10084,73.5106
10085,8.95551
10086,47.2195
10087,28.7338
10088,49.1245
10089,83.9152
10090,84.035
10091,44.3468
10092,41.9554
10093,31.9034
10094,57.905
10095,39.9627
10096,72.8455
10097,41.9745
10098,41.7309
10099,43.2151
10100,26.3826
10101,86.5354
10102,31.0504
10103,77.2137
10104,82.8184
10105,46.8766
10106,11.0192
10107,66.5423
10108,13.4887
10109,90.3349
10110,53.414
10111,34.7472
10112,38.9813
10113,30.2913
10114,33.0977
10115,92.9137
10116,59.2335
10117,21.8664
10118,14.0923
10119,11.8933
10120,47.7704
10121,77.9923
10122,34.3855
10123,56.3665
10124,74.177
10125,31.9587
10126,31.7173
10127,81.755
10128,45.5185
10129,18.8075
10130,49.3701
10131,19.5434
10132,36.4826
10133,29.7739
10134,28.6468
10135,41.614
10136,50.1587
10137,47.7018
10138,38.3027
10139,38.5648
10140,36.3173
10141,68.9048
10142,37.0273
10143,64.9068
10144,69.1874
10145,11.4218
10146,13.9836
10147,44.5363
10148,73.3978
10149,43.959
10150,84.3534
10151,7.90601
10152,82.1728
10153,35.5906
10154,77.7509
10155,53.5973
10156,86.1807
10157,91.1821
10158,88.8945
10159,66.5566
10160,33.1044
10161,75.9219
10162,30.8267
10163,29.1667
10164,46.1671
10165,15.5529
10166,47.9265
10167,88.907
10168,26.035
10169,9.72554
10170,35.179
10171,66.1951
10172,30.5951
10173,61.1282
10174,35.4021
10175,33.7401
10176,26.6803
10177,21.1537
10178,56.6253
10179,48.4011
10180,50.3574
10181,70.792
10182,54.8839
10183,36.7859
10184,87.9682
10185,62.0053
10186,36.0003
10187,79.9029
10188,37.2861
10189,55.6847
10190,15.1009
10191,55.2103
10192,55.5667
10193,10.4152
10194,32.4547
10195,11.6698
10196,59.6207
10197,67.6722
10198,18.4804
10199,49.5344
10200,46.5997
10201,28.2808
10202,74.3588
10203,25.034
10204,68.9059
10205,28.0535
10206,64.8531
10207,74.6435
10208,21.7295
10209,50.7793
10210,30.4152
10211,41.7331
10212,21.2163
10213,38.9446
10214,23.921
10215,47.8672
10216,60.2107
10217,27.8922
10218,25.1239
10219,85.1269
10220,51.2514
10221,9.06703
10222,70.203
10223,66.6013
10224,13.1165
10225,27.6357
10226,87.9295
10227,69.4032
10228,48.1957
10229,20.4113
10230,78.9358
10231,76.3456
10232,84.3757
10233,38.7287
10234,83.5807
10235,45.6367
10236,14.0781
10237,84.6727
10238,91.2183
10239,38.1849
10240,14.5256
10241,49.4848
10242,88.6099
10243,33.5691
10244,67.1179
10245,35.7081
10246,51.9213
10247,47.9236
10248,52.7077
10249,93.741
10250,73.4109
10251,41.0342
10252,27.5019
10253,48.7874
10254,52.8467
10255,45.7581
10256,11.2159
10257,28.9016
10258,82.1312
10259,85.3824
10260,75.87
10261,89.1981
10262,77.0128
10263,18.023
10264,42.966
10265,42.7617
10266,10.5842
10267,33.103
10268,31.562
10269,52.262
10270,42.8464
10271,51.7777
10272,58.1904
10273,34.235
10274,25.4016
10275,9.90965
10276,48.1094
10277,50.8649
10278,86.857
10279,27.7435
10280,55.1918
10281,59.6315
10282,66.3831
10283,28.7041
10284,28.1881
10285,30.8046
10286,35.7941
10287,56.8017
10288,79.8475
10289,79.8377
10290,34.2108
10291,95.032
10292,24.025
10293,11.7833
10294,46.219
10295,69.9605
10296,70.8634
10297,36.5993
10298,56.0607
10299,36.8267
10300,30.3285
10301,57.5496
10302,86.7288
10303,26.8957
10304,56.6965
10305,69.5796
10306,83.0004
10307,7.54669
10308,91.287
10309,85.3355
10310,24.6228
10311,91.9727
10312,41.6801
10313,58.4889
10314,13.0273
10315,62.1603
10316,79.5818
10317,75.8928
10318,39.2107
10319,60.4675
10320,74.1912
10321,70.8497
10322,30.2016
10323,34.4613
10324,41.6859
10325,67.7736
10326,66.0402
10327,51.2139
10328,55.6153
10329,74.8574
10330,45.4276
10331,81.2431
10332,49.0052
10333,31.9474
10334,40.8874
10335,68.2843
10336,54.5011
10337,28.4752
10338,19.8688
10339,25.3802
10340,61.6221
10341,75.256
10342,80.4505
10343,27.3302
10344,61.9684
10345,86.4701
10346,44.3951
10347,32.0402
10348,50.3893
10349,14.3973
10350,13.7857
10351,74.3175
10352,92.426
10353,61.8562
10354,65.9264
