Id,reference
10001,35.7073
10002,39.9404
10003,33.6329
10004,74.0584
10005,63.9576
10006,64.3389
10007,71.0726
10008,63.8886
10009,45.392
10010,91.4716
10011,65.7766
10012,33.4231
10013,43.1833
10014,68.6741
10015,37.0451
10016,69.2071
10017,28.6382
10018,66.3679
10019,23.843
10020,45.5073
10021,85.6205
10022,90.6361
10023,58.0396
10024,31.56
10025,71.5798
10026,55.7735
10027,58.6689
10028,32.0224
10029,89.877
10030,29.7634
10031,73.7662
10032,32.3714
10033,38.8149
10034,68.6098
10035,66.7874
10036,53.6939
10037,9.13177
10038,20.8749
10039,27.6506
10040,75.5262
10041,56.5313
10042,38.2004
10043,89.3825
10044,17.4529
10045,20.4775
10046,24.8902
10047,36.7189
10048,88.3319
10049,68.2751
10050,21.4033
10051,31.6583
10052,79.7542
10053,47.7896
10054,92.2718
10055,78.0851
10056,44.0074
10057,16.4883
10058,74.3302
10059,58.8489
10060,62.5098
10061,37.8007
10062,8.76139
10063,55.7035
10064,19.5122
10065,42.1851
10066,30.8809
10067,69.1809
10068,80.9017
10069,85.8764
10070,32.7548
10071,26.6335
10072,29.5313
10073,32.3051
10074,68.0375
10075,47.6963
10076,19.741
10077,69.5668
10078,37.6932
10079,61.2157
10080,45.2982
10081,12.4757
10082,9.09249
10083,35.0746
10084,66.0672
10085,11.7393
10086,47.6551
10087,29.8871
10088,47.6338
10089,83.0808
10090,85.5887
10091,48.7814
10092,42.4718
10093,31.7839
10094,57.3725
10095,35.6131
10096,70.1867
10097,40.8136
10098,40.348
10099,42.6091
10100,26.8111
10101,84.4944
10102,31.642
10103,57.5671
10104,85.3862
10105,46.1222
10106,13.7956
10107,66.1617
10108,12.2839
10109,89.7579
10110,50.2686
10111,28.5541
10112,38.5452
10113,32.5894
10114,30.6442
10115,92.2785
10116,58.4718
10117,20.5918
10118,14.1928
10119,12.7235
10120,45.3769
10121,80.2555
10122,33.6242
10123,61.5198
10124,72.7755
10125,31.5588
10126,30.1778
10127,81.9367
10128,42.5767
10129,17.2661
10130,52.8716
10131,20.0951
10132,35.6551
10133,30.3284
10134,30.4666
10135,42.7762
10136,52.3044
10137,45.6287
10138,41.9273
10139,33.82
10140,37.9595
10141,70.1638
10142,38.6537
10143,61.3266
10144,69.882
10145,12.5498
10146,17.7525
10147,43.943
10148,78.2934
10149,41.7204
10150,82.9645
10151,9.38531
10152,73.5943
10153,35.3631
10154,78.9111
10155,55.6163
10156,76.2403
10157,90.3039
10158,90.8173
10159,63.1904
10160,33.5887
10161,74.8801
10162,31.7917
10163,29.7298
10164,41.6155
10165,13.7891
10166,46.747
10167,86.8645
10168,30.3539
10169,13.6826
