Id,reference
10001,35.815
10002,44.937
10003,24.933
10004,70.976
10005,61.869
10006,54.005
10007,56.229
10008,59.875
10009,45.118
10010,84.864
10011,60.825
10012,48.442
10013,41.729
10014,65.011
10015,37.189
10016,55.942
10017,29.93
10018,70.196
10019,41.447
10020,57.029
10021,85.649
10022,81.859
10023,55.439
10024,29.012
10025,66.739
10026,50.726
10027,60.253
10028,34.825
10029,88.67
10030,41.574
10031,74.437
10032,39.211
10033,36.202
10034,64.126
10035,67.546
10036,45.862
10037,13.617
10038,22.263
10039,39.177
10040,73.776
10041,55.808
10042,39.004
10043,87.491
10044,24.908
10045,41.957
10046,46.821
10047,47.005
10048,79.944
10049,63.742
10050,21.326
10051,29.181
10052,81.321
10053,55.859
10054,84.706
10055,72.495
10056,45.764
10057,18.519
10058,65.155
10059,52.636
10060,55.576
10061,33.683
10062,8.5309
10063,54.174
10064,1.4069
10065,50.346
10066,29.402
10067,61.751
10068,81.439
10069,83.834
10070,27.371
10071,26.858
10072,33.829
10073,41.845
10074,58.078
10075,51.194
10076,24.172
10077,67.371
10078,34.187
10079,75.711
10080,42.12
10081,10.513
10082,17.862
10083,35.936
10084,68.923
10085,14.681
10086,54.699
10087,2.6808
10088,55.076
10089,77.271
10090,85.675
10091,48.679
10092,30.53
10093,34.928
10094,58.621
10095,43.976
10096,79.165
10097,48.749
10098,47.916
10099,39.178
10100,42.186
10101,83.891
10102,43.854
10103,67.884
10104,82.638
10105,47.38
10106,28.223
10107,65.913
10108,20.101
10109,85.28
10110,52.553
10111,26.157
10112,39.869
10113,40.237
10114,43.774
10115,75.167
10116,59.01
10117,16.544
10118,24.526
10119,12.887
10120,51.187
10121,74.235
10122,25.805
10123,54.577
10124,77.763
10125,34.399
10126,31.308
10127,84.316
10128,42.672
10129,18.567
10130,49.066
10131,4.4153
10132,36.041
10133,31.323
10134,26.971
10135,45.548
10136,58.643
10137,42.764
10138,31.412
10139,40.859
10140,33.884
10141,69.366
10142,33.666
10143,61.611
10144,68.198
10145,8.9735
10146,8.1067
10147,45.976
10148,74.21
10149,39.477
10150,83.58
10151,9.598
10152,73.584
10153,38.134
10154,77.288
10155,49.337
10156,70.841
10157,85.729
10158,84.861
10159,63.941
10160,32.504
10161,90.926
10162,41.755
10163,31.91
10164,42.894
10165,6.6968
10166,47.804
10167,85.928
10168,31.709
10169,12.708
10170,33.825
10171,64.835
10172,15.86
10173,65.813
10174,32.065
10175,27.981
10176,55.429
