Id,reference
10001,35.839
10002,44.723
10003,25.019
10004,70.863
10005,61.797
10006,53.982
10007,56.165
10008,59.96
10009,45.205
10010,84.769
10011,60.735
10012,48.494
10013,41.828
10014,65.122
10015,37.202
10016,55.766
10017,30.014
10018,70.263
10019,41.508
10020,56.87
10021,85.524
10022,81.719
10023,55.494
10024,29.019
10025,66.735
10026,51.192
10027,60.388
10028,35.049
10029,88.638
10030,41.553
10031,74.388
10032,38.909
10033,36.244
10034,64.069
10035,67.397
10036,46.197
10037,13.492
10038,22.084
10039,39.154
10040,73.695
10041,55.847
10042,38.973
10043,87.344
10044,24.811
10045,42.258
10046,46.157
10047,47.042
10048,79.767
10049,63.645
10050,21.089
10051,29.361
10052,81.091
10053,55.768
10054,84.437
10055,72.526
10056,45.776
10057,19.028
10058,65.292
10059,52.622
10060,55.546
10061,34.152
10062,8.0249
10063,54.274
10064,0.69423
10065,50.601
10066,29.912
10067,61.679
10068,81.334
10069,84.017
10070,27.281
10071,26.664
10072,34.123
10073,41.63
10074,58.184
10075,51.138
10076,24.203
10077,67.314
10078,34.187
10079,75.69
10080,42.15
10081,9.8035
10082,17.982
10083,36.04
10084,68.667
10085,15.096
10086,54.628
10087,2.313
10088,55.196
10089,77.339
10090,85.59
10091,48.848
10092,30.923
10093,34.841
10094,58.465
10095,43.742
10096,79.236
10097,48.673
10098,48.173
10099,38.989
10100,42.06
10101,83.763
10102,43.992
10103,68.062
10104,82.611
10105,47.333
10106,28.444
10107,66.024
10108,19.688
10109,85.349
10110,52.411
10111,26.028
10112,39.716
10113,40.165
10114,43.985
10115,74.508
10116,59.2
10117,16.645
10118,25.188
10119,12.514
10120,51.182
10121,74.278
10122,25.952
10123,54.422
10124,77.886
10125,33.916
10126,31.785
10127,84.378
10128,43.049
10129,18.506
10130,49.091
10131,4.3978
10132,35.939
10133,31.293
10134,26.942
10135,45.596
10136,58.625
10137,42.873
10138,31.489
10139,40.726
10140,33.92
10141,69.52
10142,33.564
10143,61.559
10144,68.064
10145,10.114
10146,7.9495
10147,46.117
10148,74.228
10149,39.582
10150,83.898
10151,9.5603
10152,73.437
10153,37.922
10154,77.165
10155,49.347
10156,70.85
10157,85.587
10158,84.755
10159,63.853
10160,32.392
10161,90.704
10162,41.896
10163,31.819
10164,43.12
10165,7.2192
10166,48.091
10167,85.903
10168,31.373
10169,11.129
10170,33.694
10171,64.774
10172,16.037
10173,65.816
10174,32.081
10175,27.774
10176,55.142
10177,12.247
10178,72.121
10179,53.479
10180,46.858
10181,70.396
10182,55.545
10183,35.469
10184,87.719
10185,60.878
10186,29.31
10187,69.984
10188,36.137
10189,56.698
10190,19.309
10191,61.624
10192,52.54
10193,9.8793
10194,36.703
10195,-4.7024
10196,55.477
10197,63.473
10198,11.618
10199,45.261
10200,47.65
10201,44.922
10202,71.611
10203,34.341
10204,50.264
10205,56.655
10206,71.404
10207,74.39
10208,19.248
10209,47.828
10210,34.69
10211,45.423
10212,16.526
10213,41.335
10214,14.681
10215,45.274
10216,58.909
10217,22.392
10218,24.812
10219,83.125
10220,47.149
10221,7.3545
10222,70.416
10223,61.624
10224,13.82
10225,53.439
