Id,reference
10001,35.819413
10002,44.987863
10003,24.887006
10004,71.012337
10005,61.775690
10006,53.934243
10007,56.243436
10008,59.879426
10009,45.020448
10010,84.887714
10011,60.769822
10012,48.612453
10013,41.637629
10014,65.003501
10015,37.126486
10016,55.952707
10017,29.910131
10018,70.316118
10019,41.321679
10020,57.071235
10021,85.572688
10022,81.865162
10023,55.506435
10024,29.001204
10025,66.652004
10026,50.726113
10027,60.342251
10028,34.774811
10029,88.722826
10030,41.413993
10031,74.480462
10032,39.314547
10033,36.261785
10034,64.117187
10035,67.543467
10036,45.945809
10037,13.355495
10038,22.234309
10039,39.242491
10040,73.712628
10041,55.741825
10042,39.072204
10043,87.543561
10044,24.982803
10045,42.344553
10046,46.955271
10047,46.944430
10048,79.979046
10049,63.621782
10050,21.235801
10051,29.147899
10052,81.359942
10053,55.816076
10054,84.700290
10055,72.567609
10056,45.739502
10057,18.537974
10058,65.017425
10059,52.682745
10060,55.587269
10061,33.427421
10062,8.317897
10063,54.279720
10064,1.358028
10065,50.283843
10066,29.314044
10067,61.698826
10068,81.288520
10069,83.748052
10070,27.392385
10071,26.633387
10072,33.853855
10073,41.795687
10074,58.157413
10075,51.455751
10076,24.045772
10077,67.304333
10078,34.497934
10079,75.662033
10080,42.041026
10081,10.572349
10082,17.835062
10083,35.946861
10084,69.045960
10085,14.503540
10086,54.649447
10087,2.578799
10088,55.099193
10089,77.370799
10090,85.647471
10091,48.664003
10092,30.359741
10093,34.854986
10094,59.121922
10095,44.041490
10096,79.184558
10097,48.696011
10098,47.753396
10099,39.189322
10100,42.240446
10101,83.907742
10102,44.102359
10103,67.736135
10104,82.638846
10105,47.446147
10106,27.901637
10107,65.881299
10108,20.019878
10109,85.283521
10110,52.551527
10111,26.204332
10112,39.791145
10113,40.193471
10114,43.599922
10115,75.369960
10116,59.058500
10117,16.554775
10118,24.368140
10119,12.864660
10120,51.160010
10121,74.254446
10122,25.720963
10123,54.610022
10124,77.718562
10125,34.619439
10126,31.991585
10127,84.315110
10128,42.606032
10129,18.536625
10130,48.870331
10131,4.374359
10132,36.054300
10133,31.452463
10134,26.966587
10135,45.424847
10136,58.574467
10137,42.735482
10138,31.416535
10139,40.947222
10140,33.916067
10141,69.293614
10142,33.635270
10143,61.608806
10144,68.102020
10145,9.790445
10146,8.025575
10147,46.042322
10148,74.155912
10149,39.394024
10150,83.444565
10151,9.497096
10152,73.414603
10153,38.216591
10154,77.297075
10155,49.302848
10156,70.732831
10157,85.749662
10158,84.796485
10159,63.913209
10160,32.582269
10161,90.937005
10162,41.672970
10163,31.704228
10164,42.973048
10165,6.601422
10166,47.731880
10167,85.861973
10168,31.953004
10169,13.134570
10170,33.854538
10171,64.791061
10172,15.915237
10173,65.926453
10174,32.089618
10175,28.025305
10176,55.458462
10177,12.171057
10178,71.946328
10179,53.693482
10180,47.173685
10181,70.344329
10182,55.454395
10183,35.349683
10184,87.725495
10185,60.747647
10186,29.385399
10187,70.021747
10188,35.946802
10189,56.784713
10190,19.616734
10191,61.549274
10192,52.874846
10193,9.110493
10194,36.781652
10195,-5.144135
10196,55.406531
10197,63.358998
10198,12.322140
10199,44.900530
10200,47.687572
10201,44.989945
10202,71.740077
10203,33.959547
10204,50.190069
10205,56.589368
10206,71.356016
10207,74.363809
10208,19.134518
10209,47.979135
10210,34.913054
10211,45.353451
10212,17.363989
10213,40.929755
10214,15.189266
10215,45.104741
10216,58.372246
10217,22.135517
10218,24.577739
10219,82.815249
10220,47.009274
10221,7.592901
10222,70.357859
10223,61.509816
10224,13.930782
10225,53.491372
10226,78.896326
10227,65.145983
10228,48.591548
10229,6.435780
10230,74.695692
10231,76.916327
10232,85.581332
10233,45.628030
10234,77.589937
10235,49.350423
10236,-1.610344
10237,85.310586
10238,73.558500
10239,29.141812
10240,25.172267
10241,47.717884
10242,84.122239
10243,36.063185
10244,62.985463
10245,32.552600
10246,50.082293
10247,48.377396
10248,47.660528
10249,80.203652
10250,65.421413
10251,48.481386
10252,42.314700
10253,52.371379
10254,57.364629
10255,50.313799
10256,14.130576
10257,44.746114
10258,73.841273
10259,86.470540
10260,75.763529
10261,78.738932
10262,66.321447
10263,16.284120
10264,44.576763
10265,40.386771
10266,3.350830
10267,34.497176
10268,32.849801
10269,47.068717
10270,47.626298
10271,44.885305
10272,70.339388
10273,27.281939
10274,24.640164
10275,10.848843
10276,49.527893
10277,49.564140
10278,72.703653
10279,38.476828
10280,63.072605
10281,62.463338
10282,66.939518
10283,25.979659
10284,38.164308
10285,33.259544
10286,42.939448
10287,50.877130
10288,78.566239
10289,75.013462
10290,43.056664
10291,71.781315
10292,24.926060
10293,8.221017
10294,55.041983
10295,55.560690
10296,51.648620
10297,35.105212
10298,52.696125
10299,35.513690
10300,27.313132
10301,59.372782
10302,80.382664
10303,36.010889
10304,54.795462
10305,67.561581
10306,79.199353
10307,10.526926
10308,91.526694
10309,86.322254
10310,35.476277
10311,82.464425
10312,46.619089
10313,53.158878
10314,6.993167
10315,60.372636
10316,84.159736
10317,72.306911
10318,33.455537
10319,63.950362
10320,81.566623
10321,65.549596
10322,29.220885
10323,27.703277
10324,45.220420
10325,65.326113
10326,58.345476
10327,46.605442
10328,51.621494
10329,74.601501
10330,44.313728
10331,85.888019
10332,45.438387
10333,19.721187
10334,41.272271
10335,63.707692
10336,60.017216
10337,30.011209
10338,29.485008
10339,34.639074
10340,64.674912
10341,67.396879
10342,76.045954
10343,24.397761
10344,56.254582
10345,82.928330
10346,46.805862
10347,31.075529
10348,45.856009
10349,16.137140
10350,32.081022
10351,75.842455
10352,73.641104
10353,67.376588
10354,64.451987
10355,34.217806
10356,18.660787
10357,23.676796
10358,69.647184
10359,54.222685
10360,23.547518
10361,53.691556
10362,35.913406
10363,77.780507
10364,42.981381
10365,47.303172
10366,36.916576
10367,47.636846
10368,23.738273
10369,47.017765
10370,75.205889
10371,44.096137
10372,11.305246
10373,44.676428
10374,65.766561
10375,74.417877
10376,31.528327
10377,54.864540
10378,59.284825
10379,24.235889
10380,53.724729
10381,42.273295
10382,39.959072
10383,67.481233
10384,10.074359
10385,38.347046
10386,79.576191
10387,1.816579
10388,33.099939
10389,79.878284
10390,51.846317
10391,77.542416
10392,10.965751
10393,35.854768
10394,50.352811
10395,68.521799
10396,65.475998
10397,84.795529
10398,77.449692
10399,28.931318
10400,36.263255
10401,39.658360
10402,19.092313
10403,34.678180
10404,88.876709
10405,19.961018
10406,82.769307
10407,91.333977
10408,35.969603
10409,67.478279
10410,28.192460
10411,79.181862
10412,43.791917
10413,55.791058
10414,46.125710
10415,23.631742
10416,14.173731
10417,49.784304
10418,40.075827
10419,33.393168
10420,50.514663
10421,79.346050
